Id;Label
1;great day white
2;rt praises president trump making gang eradication priority
3;highest stock market best economic numbers unemployment lowest wages border wh
4;obamacare hurting hurt insurance companies congress paying public
5;give republican world repeal go votes get cross state lines
6;nothing us north longer allow china could easily solve
7;disappointed foolish past leaders allowed make hundreds billions dollars year
8;love reading instrumental election problem maga
9;unless republican senators total repeal replace demand another vote voting
10;stock market almost since
11;new healthcare bill approved bailouts insurance companies bailouts members congress end
12;seven years repeal people great country still forced live imploding
13;senate democrats ever got would switch majority vote first laughing make
14;dems totally control many great republican bills never like law complete get
15;republicans senate never win go vote majority look like fools wasting
16;outdated filibuster rule must budget reconciliation killing mitch go votes
17;republican senate must get rid vote killing r allows dems control bills sit
18;russia trump election want strong military low oil witch
19;defend protect communities put safety american people
20;would like thank reince priebus service dedication accomplished lot together proud
21;great john also done spectacular job homeland true star administration
22;pleased inform named john f kelly white house chief great
23;departing long island area siege gang rest
24;always enforce protect support pennsylvania
25;though parts healthcare could pass really good things need many great future bills budgets need
26;republicans going pass great future legislation must immediately go vote senseless
27;republicans democrats let american people said let obamacare
28;go republican get waiting give america great
29;great honor present highest award public safety officer medal valor five american
30;gathered east room pay tribute heroes whose courageous actions fire saved many lives
31;join live recognize first responders june shooting involving
32;big progress made ridding country gang members gang members make america safe
33;candidate catherine herridge fake news report witch purposely phony
34;things lost politics situation russians collected spread negative
35;rt cbs pretty much bury scandal engulfing debbie wasserman office
36;come republican chance let american people
37;failing said powerful show
38;thank investing billion dollars potential new jobs
39;congratulations boys girls great honor welcome wh full
40;america worship government worship
41;dollars political run hillary clinton drain
42;sessions replace acting fbi director andrew comey friend charge clinton investigation
43;cannot burdened tremendous medical costs disruption transgender military would thank
44;individuals serve capacity military must focused decisive
45;consultation generals military please advised united states government accept
46;senator great state alaska really let
47;crowd ohio amazing last night broke great time great back
48;rt john mccain making return senate ahead health care vote
49;people ohio thank
50;great honor join wonderful veterans amvets post ohio grateful nation salutes
51;arrived ohio
52;coming vital congrats deliver grt healthcare
53;joint press conference prime minister saad hariri lebanon beginning join us
54;labor market continues
55;american people waited long enough talk action seven time
56;traveling great state ohio big crowd see
57;interesting day dems obstructionists republicans great victory
58;working major trade deal united could big protectionist
59;jared kushner well yesterday proving collude witch next year old barron
60;great john mccain coming back brave american thank
61;obamacare torturing american democrats fooled people long repeal repeal pen
62;big day years soon see whether republicans willing step
63;problem acting head fbi person charge hillary andrew got h
64;attorney general jeff sessions taken weak position hillary clinton crimes dnc intel
65;ukrainian efforts sabotage trump campaign working boost investigation
66;fake news washington post used lobbyist weapon congress keep politicians looking amazon
67;many stories fake bad ratings challenged lobbyist amazon
68;amazon washington post fabricated facts ending wasteful payments syrian rebels fighting
69;remember honor take care people god puts life love cherish
70;senator votes starting debate telling america fine
71;arriving joint base andrews
72;republicans last chance right thing repeal replace years talking campaigning
73;sleazy adam totally biased congressman looking spends time television pushing dem loss
74;committees course beleaguered looking crooked hillarys crimes russia
75;year investigation zero evidence chuck schumer stated blame
76;drain swamp changed drain sewer actually much worse anyone ever begins fake
77;thank giving first six months trump administration
78;republicans repeal replace disastrous repercussions far greater
79;hard read failing new york times amazon washington post every even
80;sad even carried line little protect
81;rt phony russian witch hunt two groups laughing excuse lost election taking
82;phony russian witch hunt two groups laughing excuse lost election taking democrats
83;every patriot serve good luck
84;american steel american hands constructed ton message american might second
85;ship good people serve american sailor best
86;join live commissioning ceremony uss gerald
87;obamacare dead democrats ideas solely republican
88;republican senators must step plate vote repeal tax reform
89;fairness anthony wanted endorse republican primaries think
90;son donald openly gave media authorities whereas crooked hillary clinton deleted acid
91;clinton ties including podesta uranium russian big dollar speeches
92;many people asking special council looking many hillary clinton comey
93;agree president complete power think crime far leaks news
94;morning going commissioning ceremony largest aircraft carrier gerald
95;failing new york times foiled attempt kill single wanted sick agenda national security
96;new intelligence leak amazon washington time jeff illegal like must
97;sean spicer wonderful person took tremendous abuse fake news media future
98;privilege welcome survivors
